date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:40	274946/274946	---M--	200	added ('OK')	image/jpeg	etag:%225e8dc6b0-43202%22	https://www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2018/08/Stone-House-16th-Aug-Session-e1586349653182-1400x0-c-default.jpg	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2018/08/Stone-House-16th-Aug-Session-e1586349653182-1400x0-c-default.jpg	(from https://www.dartfordlabourparty.org.uk/)
14:00:40	41441/41441	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2013:00:39%20GMT	https://www.dartfordlabourparty.org.uk/our-councillors/	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/our-councillors/index.html	(from https://www.dartfordlabourparty.org.uk/)
14:00:40	48501/48501	---M--	200	added ('OK')	image/jpeg	etag:%2260a2cecd-bd75%22	https://www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2021/05/Polling-Day-Team-scaled-600x0-c-default.jpg	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2021/05/Polling-Day-Team-scaled-600x0-c-default.jpg	(from https://www.dartfordlabourparty.org.uk/)
14:00:40	8608/8608	---M--	200	added ('OK')	image/jpeg	etag:%225e7089b0-21a0%22	https://www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2020/03/FE608E73-D63C-4BAA-901E-80B74D41D0DF-600x0-c-default.jpg	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2020/03/FE608E73-D63C-4BAA-901E-80B74D41D0DF-600x0-c-default.jpg	(from https://www.dartfordlabourparty.org.uk/)
14:00:40	210619/210619	---M--	200	added ('OK')	image/jpeg	etag:%225e8dc6b1-336bb%22	https://www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2019/10/New-Labour-Group-1400x0-c-default.jpg	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2019/10/New-Labour-Group-1400x0-c-default.jpg	(from https://www.dartfordlabourparty.org.uk/)
14:00:41	8413/8413	---M--	200	added ('OK')	image/jpeg	etag:%225e794b63-20dd%22	https://www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2020/03/79CE9D14-C922-49AF-A406-F2FD6235A243-600x0-c-default.jpg	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2020/03/79CE9D14-C922-49AF-A406-F2FD6235A243-600x0-c-default.jpg	(from https://www.dartfordlabourparty.org.uk/)
14:00:41	37166/37166	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2013:00:40%20GMT	https://www.dartfordlabourparty.org.uk/elections-2021-thank-you/	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/elections-2021-thank-you/index.html	(from https://www.dartfordlabourparty.org.uk/)
14:00:41	38164/38164	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2013:00:41%20GMT	https://www.dartfordlabourparty.org.uk/coronavirus-update-the-re-opening-of-our-schools/	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/coronavirus-update-the-re-opening-of-our-schools/index.html	(from https://www.dartfordlabourparty.org.uk/)
14:00:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2019%20Sep%202021%2013:00:41%20GMT	https://www.dartfordlabourparty.org.uk/category/latest-news	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/category/latest-news	(from https://www.dartfordlabourparty.org.uk/)
14:00:41	114918/114918	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e91dd44-1c0e6%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/compiled/app.min.js	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/compiled/app.min.js	(from https://www.dartfordlabourparty.org.uk/)
14:00:41	41200/41200	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2013:00:41%20GMT	https://www.dartfordlabourparty.org.uk/coronavirus-update-useful-information/	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/coronavirus-update-useful-information/index.html	(from https://www.dartfordlabourparty.org.uk/)
14:00:41	24734/24734	---MCZ	200	added ('OK')	application/javascript	etag:W/%226113ec66-609e%22	https://www.dartfordlabourparty.org.uk/wp-content/plugins/page-links-to/dist/new-tab.js?ver=3.3.5	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/plugins/page-links-to/dist/new-tab46df.js	(from https://www.dartfordlabourparty.org.uk/)
14:00:42	1426/1426	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ff5d754-592%22	https://www.dartfordlabourparty.org.uk/wp-includes/js/wp-embed.min.js?ver=5.8	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-includes/js/wp-embed.min41a3.js	(from https://www.dartfordlabourparty.org.uk/)
14:00:42	39888/39888	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2013:00:42%20GMT	https://www.dartfordlabourparty.org.uk/category/latest-news/	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/category/latest-news/index.html	(from https://www.dartfordlabourparty.org.uk/)
14:00:42	1426/1426	---MCZ	200	added ('OK')	application/json	date:Sun,%2019%20Sep%202021%2013:00:42%20GMT	https://www.dartfordlabourparty.org.uk/wp-json/wp/v2/pages/37	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-json/wp/v2/pages/37.json	(from https://www.dartfordlabourparty.org.uk/volunteer/)
14:00:43	2334/2334	---MCZ	200	added ('OK')	application/json	date:Sun,%2019%20Sep%202021%2013:00:43%20GMT	https://www.dartfordlabourparty.org.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.dartfordlabourparty.org.uk%2Fvolunteer%2F	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-json/oembed/1.0/embed1e6f.json	(from https://www.dartfordlabourparty.org.uk/volunteer/)
14:00:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2019%20Sep%202021%2013:00:43%20GMT	https://www.dartfordlabourparty.org.uk/?p=37	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/index4837.html	(from https://www.dartfordlabourparty.org.uk/volunteer/)
14:00:43	2426/2426	---MCZ	200	added ('OK')	text/xml	date:Sun,%2019%20Sep%202021%2013:00:43%20GMT	https://www.dartfordlabourparty.org.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.dartfordlabourparty.org.uk%2Fvolunteer%2F&format=xml	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-json/oembed/1.0/embedc208	(from https://www.dartfordlabourparty.org.uk/volunteer/)
14:00:43	60145/60145	---M--	200	added ('OK')	image/jpeg	etag:%225e90d5eb-eaf1%22	https://www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2020/04/Victoria-and-Jonathon-Knocking-Action-Shot-Greenhithe-800x0-c-default.jpg	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2020/04/Victoria-and-Jonathon-Knocking-Action-Shot-Greenhithe-800x0-c-default.jpg	(from https://www.dartfordlabourparty.org.uk/volunteer/)
14:00:43	6406/6406	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260d27af5-1906%22	https://www.dartfordlabourparty.org.uk/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.7	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-includes/js/dist/vendor/regenerator-runtime.minb36a.js	(from https://www.dartfordlabourparty.org.uk/volunteer/)
14:00:44	16470/16470	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260c7e3b3-4056%22	https://www.dartfordlabourparty.org.uk/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://www.dartfordlabourparty.org.uk/volunteer/)
14:00:44	1257/1257	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260aee502-4e9%22	https://www.dartfordlabourparty.org.uk/wp-includes/js/dist/dom-ready.min.js?ver=71883072590656bf22c74c7b887df3dd	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-includes/js/dist/dom-ready.min7354.js	(from https://www.dartfordlabourparty.org.uk/volunteer/)
14:00:44	5440/5440	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260aee502-1540%22	https://www.dartfordlabourparty.org.uk/wp-includes/js/dist/hooks.min.js?ver=a7edae857aab69d69fa10d5aef23a5de	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-includes/js/dist/hooks.mine16b.js	(from https://www.dartfordlabourparty.org.uk/volunteer/)
14:00:44	9866/9866	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260aee502-268a%22	https://www.dartfordlabourparty.org.uk/wp-includes/js/dist/i18n.min.js?ver=5f1269854226b4dd90450db411a12b79	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-includes/js/dist/i18n.min71a7.js	(from https://www.dartfordlabourparty.org.uk/volunteer/)
14:00:44	3009/3009	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260aee502-bc1%22	https://www.dartfordlabourparty.org.uk/wp-includes/js/dist/a11y.min.js?ver=0ac8327cc1c40dcfdf29716affd7ac63	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-includes/js/dist/a11y.minac6e.js	(from https://www.dartfordlabourparty.org.uk/volunteer/)
14:00:45	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%226048e0ac-15db1%22	https://www.dartfordlabourparty.org.uk/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-includes/js/jquery/jquery.minaf6c.js	(from https://www.dartfordlabourparty.org.uk/volunteer/)
14:00:45	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fb4e3fe-2bd8%22	https://www.dartfordlabourparty.org.uk/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.dartfordlabourparty.org.uk/volunteer/)
